NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	88	1.5375473499298096	0.0072918436	No	
row_1	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	106	1.4733591079711914	0.018577151	No	
row_2	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	131	1.3551087379455566	0.028422756	No	
row_3	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	135	1.3460440635681152	0.03953282	No	
row_4	SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	170	1.254981279373169	0.047899377	No	
row_5	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	318	1.0494285821914673	0.047326546	No	
row_6	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	600	0.8621033430099487	0.03662681	No	
row_7	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	759	0.7892834544181824	0.033167563	No	
row_8	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1161	0.6702157258987427	0.013196318	No	
row_9	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	1164	0.6699925661087036	0.018693997	No	
row_10	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	1308	0.6395835876464844	0.014935399	No	
row_11	RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	1476	0.6091952323913574	0.009389578	No	
row_12	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	1503	0.6039520502090454	0.0128006935	No	
row_13	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	1602	0.5869700312614441	0.011472991	No	
row_14	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	1664	0.5771545767784119	0.01242483	No	
row_15	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	1694	0.5729519128799438	0.015384153	No	
row_16	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1744	0.5666938424110413	0.017014202	No	
row_17	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1898	0.5472327470779419	0.011841848	No	
row_18	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1965	0.5383406281471252	0.012148617	No	
row_19	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2015	0.531482458114624	0.013483025	No	
row_20	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	2280	0.4944452941417694	7.815998E-4	No	
row_21	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	2343	0.48880165815353394	9.277788E-4	No	
row_22	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	2344	0.48878028988838196	0.0050316467	No	
row_23	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	2407	0.4812356233596802	0.0051143	No	
row_24	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2467	0.4736141264438629	0.005324472	No	
row_25	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2557	0.46427449584007263	0.00354113	No	
row_26	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	2565	0.463131308555603	0.0069827894	No	
