gene	P6
ENSMUSG00000001542	2881
ENSMUSG00000001552	15172
ENSMUSG00000001555	1094
ENSMUSG00000001558	5
ENSMUSG00000001566	0
ENSMUSG00000001569	1905
ENSMUSG00000001576	8154
ENSMUSG00000001583	2750
ENSMUSG00000001588	287
ENSMUSG00000001604	609
ENSMUSG00000001622	5
ENSMUSG00000001627	4275
ENSMUSG00000001630	1787
ENSMUSG00000001632	2091
ENSMUSG00000001642	3021
ENSMUSG00000001655	0
ENSMUSG00000001656	4
ENSMUSG00000001657	0
ENSMUSG00000001661	1
ENSMUSG00000001663	2517
ENSMUSG00000001665	4199
ENSMUSG00000001666	875
ENSMUSG00000001670	0
ENSMUSG00000001672	2501
ENSMUSG00000001674	1769
ENSMUSG00000001687	5414
ENSMUSG00000001700	1837
ENSMUSG00000001707	639
ENSMUSG00000001729	11216
ENSMUSG00000001739	269
ENSMUSG00000001741	404
ENSMUSG00000001750	2946
ENSMUSG00000001751	2879
ENSMUSG00000001755	1988
ENSMUSG00000001761	2040
ENSMUSG00000001763	2549
ENSMUSG00000001767	1695
ENSMUSG00000001768	7232
ENSMUSG00000001773	16
ENSMUSG00000001774	3586
ENSMUSG00000001783	9104
ENSMUSG00000001785	1652
ENSMUSG00000001786	1796
ENSMUSG00000001794	16988
ENSMUSG00000001802	5948
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	0
ENSMUSG00000001827	6820
ENSMUSG00000001829	2494
ENSMUSG00000001833	12031
ENSMUSG00000001844	1894
ENSMUSG00000001847	16753
ENSMUSG00000001855	2728
ENSMUSG00000001864	11685
ENSMUSG00000001865	315
ENSMUSG00000001870	3674
ENSMUSG00000001891	6642
ENSMUSG00000001901	8
ENSMUSG00000001909	2937
ENSMUSG00000001910	6493
ENSMUSG00000001911	7083
ENSMUSG00000001918	10252
ENSMUSG00000001924	16337
ENSMUSG00000001930	2429
ENSMUSG00000001942	2099
ENSMUSG00000001943	284
ENSMUSG00000001946	2344
ENSMUSG00000001948	249
ENSMUSG00000001962	2302
ENSMUSG00000001964	3636
ENSMUSG00000001983	637
ENSMUSG00000001985	37
ENSMUSG00000001986	323
ENSMUSG00000001988	4
ENSMUSG00000001995	1534
ENSMUSG00000001998	1053
ENSMUSG00000001999	850
ENSMUSG00000002006	177
ENSMUSG00000002007	128
ENSMUSG00000002010	6536
ENSMUSG00000002012	316
ENSMUSG00000002014	6232
ENSMUSG00000002015	6322
ENSMUSG00000002017	4346
ENSMUSG00000002020	4054
ENSMUSG00000002028	6873
ENSMUSG00000002031	1557
ENSMUSG00000002032	318
ENSMUSG00000002033	333
ENSMUSG00000002043	1166
ENSMUSG00000002052	8212
ENSMUSG00000002055	358
ENSMUSG00000002057	239
ENSMUSG00000002058	666
ENSMUSG00000002059	2384
ENSMUSG00000002064	2797
ENSMUSG00000002068	82
ENSMUSG00000002076	17
ENSMUSG00000002083	838
ENSMUSG00000002100	17
ENSMUSG00000002102	6786
ENSMUSG00000002103	3782
ENSMUSG00000002104	103
ENSMUSG00000002105	2324
ENSMUSG00000002107	5375
ENSMUSG00000002108	575
ENSMUSG00000002109	1108
ENSMUSG00000002111	946
ENSMUSG00000002129	2728
ENSMUSG00000002147	8391
ENSMUSG00000002190	18
ENSMUSG00000002204	18923
ENSMUSG00000002205	2110
ENSMUSG00000002210	1339
ENSMUSG00000002221	2017
ENSMUSG00000002222	7068
ENSMUSG00000002227	1440
ENSMUSG00000002228	509
ENSMUSG00000002233	4291
ENSMUSG00000002240	0
ENSMUSG00000002249	2165
ENSMUSG00000002250	1354
ENSMUSG00000002257	460
ENSMUSG00000002265	1947
ENSMUSG00000002266	7
ENSMUSG00000002274	248
ENSMUSG00000002279	1752
ENSMUSG00000002280	1326
ENSMUSG00000002289	1211
ENSMUSG00000002297	442
ENSMUSG00000002307	1791
ENSMUSG00000002308	560
ENSMUSG00000002319	1661
ENSMUSG00000002320	3401
ENSMUSG00000002324	2961
ENSMUSG00000002325	3008
ENSMUSG00000002326	1083
ENSMUSG00000002329	2384
ENSMUSG00000002332	5469
ENSMUSG00000002341	1
ENSMUSG00000002342	1739
ENSMUSG00000002343	355
ENSMUSG00000002345	1080
ENSMUSG00000002346	1503
ENSMUSG00000002365	4971
ENSMUSG00000002372	3353
ENSMUSG00000002379	2527
ENSMUSG00000002384	0
ENSMUSG00000002393	3061
ENSMUSG00000002395	3088
ENSMUSG00000002396	736
ENSMUSG00000002409	1486
ENSMUSG00000002413	5460
ENSMUSG00000002416	1670
ENSMUSG00000002428	1855
ENSMUSG00000002455	4854
ENSMUSG00000002458	1001
ENSMUSG00000002459	48
ENSMUSG00000002475	596
ENSMUSG00000002477	1832
ENSMUSG00000002486	1358
ENSMUSG00000002489	4232
ENSMUSG00000002496	5374
ENSMUSG00000002500	1103
ENSMUSG00000002504	3875
ENSMUSG00000002524	6443
ENSMUSG00000002546	8067
ENSMUSG00000002550	2577
ENSMUSG00000002565	32652
ENSMUSG00000002578	411
ENSMUSG00000002580	1670
ENSMUSG00000002588	951
ENSMUSG00000002602	6449
ENSMUSG00000002603	2310
ENSMUSG00000002608	2139
ENSMUSG00000002617	931
ENSMUSG00000002625	8579
ENSMUSG00000002633	9
ENSMUSG00000002635	671
ENSMUSG00000002658	3465
ENSMUSG00000002660	1857
ENSMUSG00000002661	542
ENSMUSG00000002664	0
ENSMUSG00000002668	701
ENSMUSG00000002679	889
ENSMUSG00000002688	347
ENSMUSG00000002699	684
ENSMUSG00000002718	3846
ENSMUSG00000002728	2305
ENSMUSG00000002731	945
ENSMUSG00000002732	554
ENSMUSG00000002733	2507
ENSMUSG00000002741	5433
ENSMUSG00000002748	7362
ENSMUSG00000002763	2415
ENSMUSG00000002767	1255
ENSMUSG00000002768	2621
ENSMUSG00000002769	111
ENSMUSG00000002771	96
ENSMUSG00000002778	6157
ENSMUSG00000002781	909
ENSMUSG00000002791	1
ENSMUSG00000002797	735
ENSMUSG00000002799	2263
ENSMUSG00000002803	1712
ENSMUSG00000002804	1004
ENSMUSG00000002808	1128
ENSMUSG00000002812	14214
ENSMUSG00000002814	1132
ENSMUSG00000002820	1323
ENSMUSG00000002825	423
ENSMUSG00000002831	2826
ENSMUSG00000002833	3012
ENSMUSG00000002835	300
ENSMUSG00000002844	1723
ENSMUSG00000002845	1924
ENSMUSG00000002846	1471
ENSMUSG00000002847	1070
ENSMUSG00000002870	1328
ENSMUSG00000002871	2639
ENSMUSG00000002881	5990
ENSMUSG00000002885	3258
ENSMUSG00000002897	1301
ENSMUSG00000002900	7027
ENSMUSG00000002908	151
ENSMUSG00000002910	872
ENSMUSG00000002930	0
ENSMUSG00000002944	7931
ENSMUSG00000002948	3368
ENSMUSG00000002949	2918
ENSMUSG00000002957	4549
ENSMUSG00000002963	1827
ENSMUSG00000002968	2967
ENSMUSG00000002980	102395
ENSMUSG00000002981	7297
ENSMUSG00000002983	2601
ENSMUSG00000002984	1965
ENSMUSG00000002985	58155
ENSMUSG00000002992	0
ENSMUSG00000002996	6488
ENSMUSG00000002997	2423
ENSMUSG00000003031	7885
ENSMUSG00000003032	3281
ENSMUSG00000003033	3100
ENSMUSG00000003037	4233
ENSMUSG00000003038	3858
ENSMUSG00000003039	5554
ENSMUSG00000003051	7114
ENSMUSG00000003053	0
ENSMUSG00000003062	1802
ENSMUSG00000003068	6166
ENSMUSG00000003070	72
ENSMUSG00000003072	8934
ENSMUSG00000003099	4119
ENSMUSG00000003119	2182
ENSMUSG00000003123	4054
ENSMUSG00000003131	7399
ENSMUSG00000003134	2685
ENSMUSG00000003135	1916
ENSMUSG00000003153	407
ENSMUSG00000003154	2840
ENSMUSG00000003161	5184
ENSMUSG00000003166	3737
ENSMUSG00000003184	5181
ENSMUSG00000003190	828
ENSMUSG00000003198	417
ENSMUSG00000003199	2459
ENSMUSG00000003200	2654
ENSMUSG00000003206	152
ENSMUSG00000003208	558
ENSMUSG00000003226	11413
ENSMUSG00000003227	240
ENSMUSG00000003228	4944
ENSMUSG00000003233	3717
ENSMUSG00000003234	3246
ENSMUSG00000003235	2917
ENSMUSG00000003269	3832
ENSMUSG00000003271	465
ENSMUSG00000003273	253
ENSMUSG00000003279	164
ENSMUSG00000003282	735
ENSMUSG00000003283	737
ENSMUSG00000003299	2887
ENSMUSG00000003308	3948
ENSMUSG00000003309	3785
ENSMUSG00000003316	12933
ENSMUSG00000003341	10
ENSMUSG00000003344	2236
ENSMUSG00000003345	5518
ENSMUSG00000003346	1654
ENSMUSG00000003348	2585
ENSMUSG00000003352	866
ENSMUSG00000003354	49
ENSMUSG00000003355	239
ENSMUSG00000003360	4039
ENSMUSG00000003363	9433
ENSMUSG00000003378	1214
ENSMUSG00000003379	34
ENSMUSG00000003380	8477
ENSMUSG00000003382	2732
ENSMUSG00000003402	5714
ENSMUSG00000003410	13
ENSMUSG00000003411	21
ENSMUSG00000003418	5355
ENSMUSG00000003420	2829
ENSMUSG00000003421	2079
ENSMUSG00000003423	1330
ENSMUSG00000003429	8222
ENSMUSG00000003435	8951
ENSMUSG00000003436	3
ENSMUSG00000003437	3524
ENSMUSG00000003438	1607
ENSMUSG00000003444	488
ENSMUSG00000003452	669
ENSMUSG00000003458	11108
ENSMUSG00000003464	3500
ENSMUSG00000003469	34
ENSMUSG00000003476	155
ENSMUSG00000003477	1167
ENSMUSG00000003484	326
ENSMUSG00000003500	2041
ENSMUSG00000003505	0
ENSMUSG00000003518	6125
ENSMUSG00000003526	1071
ENSMUSG00000003527	1474
ENSMUSG00000003528	4722
ENSMUSG00000003531	1115
ENSMUSG00000003534	17559
ENSMUSG00000003541	923
ENSMUSG00000003545	230
ENSMUSG00000003546	2122
ENSMUSG00000003549	1107
ENSMUSG00000003555	19
ENSMUSG00000003559	2413
ENSMUSG00000003573	1070
ENSMUSG00000003575	1760
ENSMUSG00000003581	1436
ENSMUSG00000003585	362
ENSMUSG00000003604	354
ENSMUSG00000003617	17136
ENSMUSG00000003623	1889
ENSMUSG00000003644	2679
ENSMUSG00000003657	0
ENSMUSG00000003660	7676
ENSMUSG00000003662	2317
ENSMUSG00000003665	3
ENSMUSG00000003680	441
ENSMUSG00000003721	2692
ENSMUSG00000003731	5048
ENSMUSG00000003746	2080
ENSMUSG00000003752	925
ENSMUSG00000003762	1260
ENSMUSG00000003778	4605
ENSMUSG00000003779	223
ENSMUSG00000003808	2019
ENSMUSG00000003809	1948
ENSMUSG00000003810	5261
ENSMUSG00000003812	2388
ENSMUSG00000003813	3370
ENSMUSG00000003814	93491
ENSMUSG00000003824	190
ENSMUSG00000003847	13802
ENSMUSG00000003848	1192
ENSMUSG00000003849	416
ENSMUSG00000003863	96
ENSMUSG00000003865	3961
ENSMUSG00000003868	1727
ENSMUSG00000003872	38
ENSMUSG00000003873	2209
ENSMUSG00000003882	1154
ENSMUSG00000003923	1764
ENSMUSG00000003929	1046
ENSMUSG00000003934	58
ENSMUSG00000003948	1069
ENSMUSG00000003949	302
ENSMUSG00000003955	1255
ENSMUSG00000003970	21494
ENSMUSG00000003974	0
ENSMUSG00000003992	1487
ENSMUSG00000004018	435
ENSMUSG00000004031	0
ENSMUSG00000004032	1565
ENSMUSG00000004035	847
ENSMUSG00000004038	7
ENSMUSG00000004040	14705
ENSMUSG00000004043	1409
ENSMUSG00000004044	16451
ENSMUSG00000004054	3853
ENSMUSG00000004056	9079
ENSMUSG00000004069	3937
ENSMUSG00000004070	2506
ENSMUSG00000004071	6204
ENSMUSG00000004085	3277
ENSMUSG00000004096	3037
ENSMUSG00000004098	3151
ENSMUSG00000004099	4136
ENSMUSG00000004100	1529
ENSMUSG00000004105	3646
ENSMUSG00000004110	23
ENSMUSG00000004113	76
ENSMUSG00000004127	297
ENSMUSG00000004151	733
ENSMUSG00000004187	1460
ENSMUSG00000004207	134615
ENSMUSG00000004221	2974
ENSMUSG00000004231	5
ENSMUSG00000004233	613
ENSMUSG00000004263	448
ENSMUSG00000004264	4793
ENSMUSG00000004266	2251
ENSMUSG00000004267	1157
ENSMUSG00000004268	1656
ENSMUSG00000004270	5115
ENSMUSG00000004285	3090
ENSMUSG00000004296	3
ENSMUSG00000004317	2336
ENSMUSG00000004319	5209
ENSMUSG00000004328	85
ENSMUSG00000004341	8
ENSMUSG00000004344	0
ENSMUSG00000004347	925
ENSMUSG00000004356	1640
ENSMUSG00000004359	28
ENSMUSG00000004360	262
ENSMUSG00000004364	7839
ENSMUSG00000004366	13
ENSMUSG00000004371	38
ENSMUSG00000004383	1024
ENSMUSG00000004393	1661
ENSMUSG00000004394	4463
ENSMUSG00000004415	155
ENSMUSG00000004446	1434
ENSMUSG00000004451	4140
ENSMUSG00000004455	3617
ENSMUSG00000004460	9448
ENSMUSG00000004462	1236
ENSMUSG00000004473	354
ENSMUSG00000004500	1023
ENSMUSG00000004508	2351
ENSMUSG00000004530	8345
ENSMUSG00000004535	20289
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	32
ENSMUSG00000004558	7977
ENSMUSG00000004561	1314
ENSMUSG00000004562	6345
ENSMUSG00000004565	3107
ENSMUSG00000004567	2538
ENSMUSG00000004568	3000
ENSMUSG00000004591	5789
ENSMUSG00000004609	1327
ENSMUSG00000004610	1192
ENSMUSG00000004612	51
ENSMUSG00000004626	7269
ENSMUSG00000004630	2
ENSMUSG00000004631	2636
ENSMUSG00000004633	1833
ENSMUSG00000004637	1002
ENSMUSG00000004642	1448
ENSMUSG00000004651	0
ENSMUSG00000004654	24
ENSMUSG00000004655	11799
ENSMUSG00000004661	451
ENSMUSG00000004665	9711
ENSMUSG00000004667	4331
ENSMUSG00000004668	10
ENSMUSG00000004677	7330
ENSMUSG00000004698	142
ENSMUSG00000004707	268
ENSMUSG00000004709	139
ENSMUSG00000004730	2272
ENSMUSG00000004748	326
ENSMUSG00000004768	760
ENSMUSG00000004771	5710
ENSMUSG00000004788	2271
ENSMUSG00000004789	13286
ENSMUSG00000004791	3715
ENSMUSG00000004798	3694
ENSMUSG00000004814	126
ENSMUSG00000004815	1853
ENSMUSG00000004821	0
ENSMUSG00000004837	399
ENSMUSG00000004842	0
ENSMUSG00000004843	4594
ENSMUSG00000004846	4948
ENSMUSG00000004849	2193
ENSMUSG00000004864	2346
ENSMUSG00000004865	4216
ENSMUSG00000004872	1
ENSMUSG00000004880	1873
ENSMUSG00000004885	27
ENSMUSG00000004891	1599
ENSMUSG00000004892	3
ENSMUSG00000004894	1
ENSMUSG00000004895	1535
ENSMUSG00000004896	1778
ENSMUSG00000004897	9924
ENSMUSG00000004902	21
ENSMUSG00000004929	917
ENSMUSG00000004931	2076
ENSMUSG00000004933	270
ENSMUSG00000004934	942
ENSMUSG00000004936	4631
ENSMUSG00000004937	4483
ENSMUSG00000004939	138
ENSMUSG00000004945	1653
ENSMUSG00000004947	1350
ENSMUSG00000004948	0
ENSMUSG00000004951	2548
ENSMUSG00000004952	3234
ENSMUSG00000004961	91
ENSMUSG00000004980	46393
ENSMUSG00000004988	2422
ENSMUSG00000004994	695
ENSMUSG00000004996	1341
ENSMUSG00000005034	5924
ENSMUSG00000005043	1498
ENSMUSG00000005045	57
ENSMUSG00000005054	4535
ENSMUSG00000005057	589
ENSMUSG00000005069	2223
ENSMUSG00000005078	1444
ENSMUSG00000005087	17995
ENSMUSG00000005089	23
ENSMUSG00000005102	1259
ENSMUSG00000005103	16405
ENSMUSG00000005107	105
ENSMUSG00000005124	5078
ENSMUSG00000005125	10587
ENSMUSG00000005131	31
ENSMUSG00000005142	10514
ENSMUSG00000005148	1044
ENSMUSG00000005150	1163
ENSMUSG00000005161	8016
ENSMUSG00000005198	9304
ENSMUSG00000005202	0
ENSMUSG00000005204	4075
ENSMUSG00000005220	5
ENSMUSG00000005225	910
ENSMUSG00000005232	0
ENSMUSG00000005233	194
ENSMUSG00000005237	61
ENSMUSG00000005251	2210
ENSMUSG00000005262	3308
ENSMUSG00000005267	337
ENSMUSG00000005268	21331
ENSMUSG00000005299	3866
ENSMUSG00000005312	8189
ENSMUSG00000005320	1
ENSMUSG00000005338	1729
ENSMUSG00000005339	21
ENSMUSG00000005354	4823
ENSMUSG00000005355	0
ENSMUSG00000005357	4
ENSMUSG00000005360	2079
ENSMUSG00000005362	2225
ENSMUSG00000005364	41
ENSMUSG00000005370	1501
ENSMUSG00000005371	5315
ENSMUSG00000005373	1298
ENSMUSG00000005374	1559
ENSMUSG00000005378	1883
ENSMUSG00000005397	6063
ENSMUSG00000005410	484
ENSMUSG00000005413	2815
ENSMUSG00000005417	34187
ENSMUSG00000005442	8848
ENSMUSG00000005447	1214
ENSMUSG00000005465	255
ENSMUSG00000005469	4510
ENSMUSG00000005470	118
ENSMUSG00000005474	1
ENSMUSG00000005481	1357
ENSMUSG00000005483	2243
ENSMUSG00000005493	4
ENSMUSG00000005501	2098
ENSMUSG00000005503	0
ENSMUSG00000005505	1092
ENSMUSG00000005506	9039
ENSMUSG00000005510	4234
ENSMUSG00000005514	13336
ENSMUSG00000005533	9215
ENSMUSG00000005534	7528
ENSMUSG00000005540	244
ENSMUSG00000005547	989
ENSMUSG00000005553	20
ENSMUSG00000005566	6442
ENSMUSG00000005575	3556
ENSMUSG00000005580	1089
ENSMUSG00000005583	3184
ENSMUSG00000005609	4107
ENSMUSG00000005610	54108
ENSMUSG00000005611	381
ENSMUSG00000005615	4414
ENSMUSG00000005621	4465
ENSMUSG00000005625	4803
ENSMUSG00000005628	825
ENSMUSG00000005640	36
ENSMUSG00000005649	0
ENSMUSG00000005656	4698
ENSMUSG00000005667	506
ENSMUSG00000005672	2165
ENSMUSG00000005674	1499
ENSMUSG00000005677	5
ENSMUSG00000005681	25
ENSMUSG00000005682	2777
ENSMUSG00000005683	15589
ENSMUSG00000005686	2906
ENSMUSG00000005687	3255
ENSMUSG00000005696	11
ENSMUSG00000005698	4908
ENSMUSG00000005699	270
ENSMUSG00000005705	2
ENSMUSG00000005716	13150
ENSMUSG00000005718	448
ENSMUSG00000005732	2119
ENSMUSG00000005763	173
ENSMUSG00000005774	2767
ENSMUSG00000005779	5271
ENSMUSG00000005800	19
ENSMUSG00000005802	5011
ENSMUSG00000005803	2145
ENSMUSG00000005804	1465
ENSMUSG00000005813	4528
ENSMUSG00000005823	4544
ENSMUSG00000005824	70
ENSMUSG00000005836	88
ENSMUSG00000005846	3699
ENSMUSG00000005864	10
ENSMUSG00000005871	7027
ENSMUSG00000005873	13790
ENSMUSG00000005881	9204
ENSMUSG00000005882	2028
ENSMUSG00000005883	52
ENSMUSG00000005886	4297
ENSMUSG00000005891	0
ENSMUSG00000005892	0
ENSMUSG00000005893	4906
ENSMUSG00000005897	1489
ENSMUSG00000005899	2212
ENSMUSG00000005907	887
ENSMUSG00000005917	16
ENSMUSG00000005936	3326
ENSMUSG00000005947	445
ENSMUSG00000005949	1398
ENSMUSG00000005950	174
ENSMUSG00000005951	397
ENSMUSG00000005952	8
ENSMUSG00000005958	2244
ENSMUSG00000005968	1434
ENSMUSG00000005973	3142
ENSMUSG00000005980	16
ENSMUSG00000005981	5436
ENSMUSG00000005982	2527
ENSMUSG00000005983	227
ENSMUSG00000005986	483
ENSMUSG00000005994	0
ENSMUSG00000006005	11940
ENSMUSG00000006007	0
ENSMUSG00000006010	2661
ENSMUSG00000006014	1658
ENSMUSG00000006019	952
ENSMUSG00000006021	645
ENSMUSG00000006024	7010
ENSMUSG00000006050	2240
ENSMUSG00000006056	0
ENSMUSG00000006057	3455
ENSMUSG00000006058	2303
ENSMUSG00000006095	3140
ENSMUSG00000006127	3785
ENSMUSG00000006134	2632
ENSMUSG00000006143	2458
ENSMUSG00000006154	2489
ENSMUSG00000006169	12835
ENSMUSG00000006179	83
ENSMUSG00000006191	821
ENSMUSG00000006200	0
ENSMUSG00000006204	0
ENSMUSG00000006205	1341
